city,state,latitude,longitude
Hartford,Connecticut,41.7660,-72.6833
Kent,Washington,47.3853,-122.2169
Lafayette,Louisiana,30.2116,-92.0314
Midland,Texas,32.0299,-102.1097
Surprise,Arizona,33.6706,-112.4527
Denton,Texas,33.2151,-97.1417
Victorville,California,34.5277,-117.3536
Evansville,Indiana,37.9877,-87.5347
Santa Clara,California,37.3646,-121.9679
Abilene,Texas,32.4545,-99.7381
Athens,Georgia,33.9496,-83.3701
Vallejo,California,38.1079,-122.2639
Allentown,Pennsylvania,40.5940,-75.4782
Norman,Oklahoma,35.2406,-97.3453
Beaumont,Texas,30.0843,-94.1458
Independence,Missouri,39.0853,-94.3513
Murfreesboro,Tennessee,35.8522,-86.4161
Ann Arbor,Michigan,42.2756,-83.7313
Springfield,Illinois,39.7639,-89.6708
Berkeley,California,37.8667,-122.2991
Peoria,Illinois,40.7523,-89.6171
Provo,Utah,40.2453,-111.6448
El Monte,California,34.0746,-118.0291
Columbia,Missouri,38.9479,-92.3261
Lansing,Michigan,42.7098,-84.5562
Fargo,North Dakota,46.8652,-96.8290
Downey,California,33.9382,-118.1309
Costa Mesa,California,33.6659,-117.9123
Wilmington,North Carolina,34.2092,-77.8858
Arvada,Colorado,39.8097,-105.1066
Inglewood,California,33.9561,-118.3443
Miami Gardens,Florida,25.9489,-80.2436
Carlsbad,California,33.1239,-117.2828
Westminster,Colorado,39.8822,-105.0644
Rochester,Minnesota,44.0154,-92.4772
Odessa,Texas,31.8804,-102.3434
Manchester,New Hampshire,42.9847,-71.4439
Elgin,Illinois,42.0396,-88.3217
West Jordan,Utah,40.6023,-112.0010
Round Rock,Texas,30.5237,-97.6674
Clearwater,Florida,27.9795,-82.7663
Waterbury,Connecticut,41.5585,-73.0367
Gresham,Oregon,45.5023,-122.4416
Fairfield,California,38.2568,-122.0397
Billings,Montana,45.7895,-108.5499
Lowell,Massachusetts,42.6389,-71.3221
Ventura,California,34.2681,-119.2550
Pueblo,Colorado,38.2731,-104.6124
High Point,North Carolina,35.9855,-79.9902
West Covina,California,34.0559,-117.9099
Richmond,California,37.9530,-122.3594
Murrieta,California,33.5719,-117.1907
Cambridge,Massachusetts,42.3760,-71.1183
Antioch,California,37.9775,-121.7976
Temecula,California,33.5019,-117.1246
Norwalk,California,33.9069,-118.0834
Centennial,Colorado,39.5906,-104.8691
Everett,Washington,48.0033,-122.1742
Palm Bay,Florida,27.9856,-80.6626
Wichita Falls,Texas,33.9067,-98.5259
Green Bay,Wisconsin,44.5207,-87.9842
Daly City,California,37.7009,-122.4650
Burbank,California,34.1890,-118.3249
Richardson,Texas,32.9723,-96.7081
Pompano Beach,Florida,26.2426,-80.1290
North Charleston,South Carolina,32.8853,-80.0169
Broken Arrow,Oklahoma,36.0365,-95.7810
Boulder,Colorado,40.0175,-105.2797
West Palm Beach,Florida,26.7483,-80.1266
Santa Maria,California,34.9332,-120.4438
El Cajon,California,32.8017,-116.9605
Davenport,Iowa,41.5541,-90.6040
Rialto,California,34.1118,-117.3883
Edison,New Jersey,40°30′14.37″N 74°20′57.88″W
Las Cruces,New Mexico,32.3197,-106.7653
San Mateo,California,37.5542,-122.3131
Lewisville,Texas,33.0383,-97.0061
South Bend,Indiana,41.6769,-86.2690
Lakeland,Florida,28.0411,-81.9589
Erie,Pennsylvania,42.1166,-80.0735
Woodbridge,New Jersey,40.56075,-74.29262
Tyler,Texas,32.35,-95.30
Pearland,Texas,29.5544,-95.2958
College Station,Texas,29.5544,-95.2958
